                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2996,                 4.2649,                   1.58,                0.78727,                0.23849,                0.28012,                0.14839,                 1.9336,                 3.2818,                 1.4056,              0.0033311,              0.0033311,              0.0033311
                      2,                 1.9826,                 2.7253,                 1.3601,                0.57877,                0.42439,                0.45181,                0.24492,                 1.8084,                 2.4365,                 1.3402,              0.0065984,              0.0065984,              0.0065984
                      3,                 1.9048,                 2.1674,                 1.3257,                0.60505,                 0.5277,                0.53877,                 0.3012,                  1.641,                 1.7599,                 1.2551,              0.0097998,              0.0097998,              0.0097998
                      4,                 1.8361,                 1.7975,                 1.2942,                0.75265,                0.54894,                0.61087,                  0.348,                 1.5234,                 1.4707,                 1.2123,               0.009703,               0.009703,               0.009703
                      5,                 1.7064,                 1.5063,                 1.2299,                0.77669,                0.64387,                0.71339,                0.41613,                 1.4771,                 1.2987,                 1.1971,               0.009703,               0.009703,               0.009703
                      6,                  1.603,                 1.3375,                 1.1932,                0.84508,                0.63542,                0.72522,                0.44978,                 1.3522,                 1.2413,                 1.1397,               0.009604,               0.009604,               0.009604
                      7,                  1.538,                 1.2191,                  1.164,                0.78138,                0.71935,                0.77394,                0.47909,                 1.3231,                 1.0297,                 1.1217,               0.009505,               0.009505,               0.009505
                      8,                 1.4821,                  1.132,                 1.1363,                0.87503,                 0.6874,                0.78291,                0.49281,                 1.3032,                 1.0385,                 1.1053,               0.009406,               0.009406,               0.009406
                      9,                 1.4485,                 1.0865,                 1.1243,                0.84249,                 0.7109,                0.81068,                0.52696,                 1.2123,                0.92576,                 1.0804,               0.009307,               0.009307,               0.009307
                     10,                 1.4058,                  1.027,                 1.1067,                0.87041,                0.74165,                 0.8328,                0.54731,                  1.201,                0.89701,                   1.07,               0.009208,               0.009208,               0.009208
                     11,                 1.3722,                  0.983,                 1.0907,                0.85576,                0.75836,                0.84084,                0.55332,                 1.1487,                 0.8388,                 1.0389,               0.009109,               0.009109,               0.009109
                     12,                 1.3429,                0.95791,                 1.0839,                0.89644,                0.77349,                0.85743,                0.56802,                 1.1381,                0.81798,                 1.0447,                0.00901,                0.00901,                0.00901
                     13,                 1.3193,                0.93176,                 1.0742,                0.89296,                0.79104,                0.86832,                0.57788,                 1.1283,                0.78214,                 1.0379,               0.008911,               0.008911,               0.008911
                     14,                 1.2974,                0.90409,                 1.0658,                0.89219,                  0.776,                0.87044,                0.58766,                 1.0983,                0.77804,                 1.0191,               0.008812,               0.008812,               0.008812
