                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9403,                 3.2389,                  1.286,                0.59264,                0.44605,                0.48014,                0.27823,                 1.6219,                 2.1918,                 1.1811,              0.0033311,              0.0033311,              0.0033311
                      2,                 1.7101,                 1.9014,                 1.1648,                 0.7122,                0.59496,                0.66291,                0.39884,                 1.4792,                 1.5887,                 1.1057,              0.0065984,              0.0065984,              0.0065984
                      3,                 1.6618,                 1.5494,                 1.1435,                0.70935,                0.57822,                0.65561,                0.37558,                 1.5902,                 1.5382,                 1.1635,              0.0097998,              0.0097998,              0.0097998
                      4,                 1.6143,                 1.3112,                 1.1289,                0.76757,                0.68837,                0.75236,                 0.4472,                 1.4133,                 1.0959,                 1.0894,               0.009703,               0.009703,               0.009703
                      5,                 1.5042,                 1.1036,                 1.0877,                0.83705,                0.74009,                0.80517,                0.51457,                 1.2776,                0.95673,                 1.0494,               0.009703,               0.009703,               0.009703
                      6,                 1.4157,                0.98203,                 1.0635,                0.87588,                0.74297,                0.82854,                0.54318,                  1.203,                0.87087,                 1.0265,               0.009604,               0.009604,               0.009604
                      7,                 1.3645,                0.91336,                 1.0439,                0.89079,                0.81781,                0.87398,                0.58441,                 1.1692,                0.78754,                 1.0127,               0.009505,               0.009505,               0.009505
                      8,                 1.3164,                  0.856,                 1.0278,                 0.8911,                0.79685,                0.87304,                0.58032,                 1.1343,                0.79678,                0.99766,               0.009406,               0.009406,               0.009406
                      9,                 1.2904,                 0.8294,                 1.0163,                0.90312,                0.82552,                0.89358,                0.60348,                 1.0773,                0.71371,                0.99115,               0.009307,               0.009307,               0.009307
                     10,                 1.2583,                0.79434,                 1.0076,                0.92228,                0.84866,                0.91333,                0.62126,                 1.0697,                0.69799,                 0.9694,               0.009208,               0.009208,               0.009208
                     11,                 1.2233,                0.76157,                0.99215,                0.90618,                 0.8588,                0.91385,                0.62311,                 1.0435,                0.65517,                0.97122,               0.009109,               0.009109,               0.009109
                     12,                 1.2017,                0.73929,                  0.989,                0.93363,                0.85135,                0.92032,                0.64992,                  0.989,                0.65658,                 0.9499,                0.00901,                0.00901,                0.00901
                     13,                 1.1801,                0.71728,                0.98316,                0.91957,                0.87923,                 0.9357,                0.65482,                0.99598,                0.61317,                0.94632,               0.008911,               0.008911,               0.008911
                     14,                 1.1601,                0.70051,                0.97734,                 0.9267,                0.88051,                0.93572,                0.66355,                0.98202,                0.61544,                0.94861,               0.008812,               0.008812,               0.008812
                     15,                 1.1342,                 0.6848,                0.96759,                0.93348,                0.87243,                0.93475,                0.66696,                0.95308,                 0.5948,                0.94176,               0.008713,               0.008713,               0.008713
                     16,                 1.1261,                0.67795,                0.96592,                0.92874,                0.89642,                0.94588,                0.68001,                0.93057,                0.57378,                 0.9369,               0.008614,               0.008614,               0.008614
                     17,                 1.1086,                0.66117,                0.95853,                0.93762,                0.88913,                0.94525,                0.67788,                0.93965,                0.57503,                0.94301,               0.008515,               0.008515,               0.008515
